I_A U_V
0.0 -0.7342605250822188
0.5 36.53607896233824
1.0 71.99590972228262
1.5 109.2377865387296
2.0 145.67558416516437
2.5 181.5874442771542
3.0 218.44910770142835
3.5 254.01003823861132
4.0 291.1327589576459
4.5 327.0176941732686
5.0 362.82155665380395
5.5 399.4194739295825
6.0 436.5620851010168
6.5 472.53502788202695
7.0 509.0321683988941
7.5 545.7197158787426
8.0 580.7959331359922
8.5 618.37460287689
9.0 654.9694180244506
9.5 690.581180628407
10.0 728.0550564218875
10.5 764.4608499124508
11.0 800.7579547134902
11.5 836.6851118200786
12.0 872.1131642730696
12.5 909.6259935010966
13.0 945.4210415274309
13.5 983.1613552263461
14.0 1018.0657460575661
14.5 1054.0314534357165
15.0 1091.1482458246724
15.5 1127.5769460199485
16.0 1163.5122832868256
16.5 1200.2436909246703
17.0 1235.835478883562
17.5 1272.5606206067816
18.0 1309.5744602038376
18.5 1345.0416192849545
19.0 1382.6594052072962
19.5 1418.0555596133613
